Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
TYE7,CAT1,0.5840942353150291,0.7582743729351824,0.7884214380498784,0.8696639281533788,0.6336912114394411,0.7396216826054373,0.5701733881571234,0.7121867629591649,0.0
YAK1,TYE7,0.8612341761936332,0.9277595718495089,0.4840274024374793,0.6385907746444055,0.46794058872073735,0.5883111581665862,0.5565162381403674,0.7033389823097107,0.0
HSP30,YAK1,0.19115024557939328,0.3694139577489398,,,,,0.19115024557939328,0.41252104506341,0.0
HSP30,TYE7,0.1698540886525947,0.3423621474403862,0.7873316600298267,0.8696639281533788,0.019029412209068283,0.07670618735820307,0.2671512794765871,0.46285512374431953,0.0
HSP30,CAT1,0.04959350857792207,0.1581813313893915,0.1185439763978259,0.2854626863670085,0.17487659834698285,0.3151002302012456,0.04642083660077652,0.1948367508032592,0.0
PDE2,HSP30,6.082737703335765e-05,0.006193025477288189,0.03843601021389992,0.15137674248619032,0.02388895417330297,0.08491437347055873,0.010441523664789057,0.086705607188138,0.0
PDE2,YAK1,0.0007582997490066319,0.016137106485927873,,,,,0.0007582997490066319,0.023786665810944872,0.0
TPS2,PDE2,0.34507426407380676,0.5315173739166695,,,,,0.34507426407380676,0.5286999007403312,0.0
TPS2,HSP30,0.08122110607332757,0.21274157732912194,0.00477767259880968,0.05488497058632584,0.4794354110735033,0.5970039672921649,0.011049095700410004,0.086705607188138,0.0
TPS2,YAK1,0.03804040422472496,0.1363114484719311,,,,,0.03804040422472496,0.1813766473434886,0.0
TPS2,TYE7,0.07965671997187854,0.21078393592558628,0.043685865218387514,0.16593582675693966,0.10714831395569886,0.22645940949555815,0.21198515792813072,0.42251244629717216,0.0
TPS2,CAT1,0.01466967702407607,0.083181904883772,0.002486308803204508,0.04182326593961869,0.8827104398403283,0.9192186095034227,0.000996364787404434,0.028675821754636142,0.0
MSN4,TPS2,0.07902684642841784,0.21052281680126778,0.2460438547360194,0.4198791868864679,0.05420684400813683,0.15248112235382374,0.45937608962448384,0.6166399761625954,0.0
MSN4,PDE2,0.0010585034875872402,0.01757066132998156,,,,,0.0010585034875872402,0.028675821754636142,0.0
