Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
TYE7,CAT1,0.9045649221273983,0.9957692967665555,0.7339975744064331,0.8545828902017757,0.541133565807979,0.6925824736147521,0.7267819529071542,0.9453247779072076,0.0
YAK1,TYE7,0.057614570409329074,0.4830743740119307,0.04895321902882827,0.4131309645236796,0.7439949654504461,0.8571200137752818,0.011518591722572939,0.1822623359453831,0.0
HSP30,YAK1,0.06002802702647967,0.4830743740119307,,,,,0.06002802702647967,0.46521720945521744,0.0
HSP30,TYE7,0.45100127684449587,0.9737481411055349,0.685476099052051,0.82764891959618,0.4973774764080358,0.6754239909811812,0.523227394897891,0.8042999624050227,0.0
HSP30,CAT1,0.722365602410513,0.9885303562766522,0.8703524869711703,0.952130572995307,0.4960159214100505,0.6754239909811812,0.8708286845463019,0.9746201426114376,0.0
PDE2,HSP30,0.010678396415841522,0.31796842182789437,0.07355104185984994,0.4131309645236796,0.6916154378717729,0.821755009281689,0.011758860383573103,0.1822623359453831,0.0
PDE2,YAK1,6.148573617378464e-05,0.01020663220484825,,,,,6.148573617378464e-05,0.011436346928323942,0.0
TPS2,PDE2,0.6459627535614547,0.9885303562766522,,,,,0.6459627535614547,0.8864168670204263,0.0
TPS2,HSP30,0.03463565417731569,0.41170250225746646,0.002216965876797293,0.14778672190075468,0.0024616716011479143,0.10901973295489054,0.010151464835777365,0.1822623359453831,0.0
TPS2,YAK1,0.056784386084497436,0.4830743740119307,,,,,0.056784386084497436,0.46388612670148793,0.0
TPS2,TYE7,0.005592766971399375,0.31796842182789437,0.03348721545802133,0.38988686568981973,0.006190155146302314,0.12348648348336032,0.0029308091681460196,0.13048522545739594,0.0
TPS2,CAT1,0.022053465765461775,0.36727093155938023,0.006502457894084653,0.17201241442413998,0.14277753739067234,0.39263822782434893,0.0009689054987667992,0.09010821138531232,0.0
MSN4,TPS2,0.3735187998822009,0.900639413043228,0.007756655452130152,0.17201241442413998,0.06426004777015504,0.38288278463050707,0.0887027177619349,0.5432497326616718,0.0
MSN4,PDE2,0.7522677012385173,0.9885303562766522,,,,,0.7522677012385173,0.9499685313426952,0.0
MSN4,HSP30,0.1378317304153477,0.7380666854499264,0.13805044459277516,0.4648653914232233,0.35320840518154917,0.5789213620261789,0.0920461332574734,0.5432497326616718,0.0
MSN4,YAK1,0.15025248258201732,0.7794347533942148,0.28064200055498045,0.5530733404115531,0.24848095554701344,0.5001572857549749,0.16760830072960053,0.7085259985387659,0.0
MSN4,TYE7,0.4210027619529789,0.9380053799787345,0.20841378960904472,0.5173666897652088,0.052228204561809294,0.38288278463050707,0.12684942676338462,0.623660557310941,0.0
MSN4,CAT1,0.11416897035411357,0.647913411304812,0.6394624991033293,0.8119971132904589,0.0585125628462583,0.38288278463050707,0.4145473198399161,0.7545821700816334,0.0
PTC1,TPS2,0.00967456215870402,0.31796842182789437,,,,,0.00967456215870402,0.1822623359453831,0.0
PTC1,PDE2,0.048586635182129724,0.4830743740119307,0.06410778349110381,0.4131309645236796,0.41677789042255464,0.6061230892387334,0.020040294862115986,0.26624963173954097,0.0
PTC1,HSP30,0.31274017538888593,0.8639954737453284,0.20906408956360684,0.5173666897652088,0.15492381733869512,0.4008127181447909,0.5153138940991426,0.8042999624050227,0.0
PTC1,TYE7,0.5310081241941088,0.9885303562766522,0.1030913258348307,0.4308688746430104,0.8538323543921099,0.9358815564765441,0.4043411213876206,0.7545821700816334,0.0
PTC1,CAT1,0.9373294691381495,0.9974146915188001,0.929761940507329,0.9692202959250028,0.9920011912724745,0.9920011912724745,0.9048602400460697,0.978093152245624,0.0
TPK1,PTC1,0.1845161671744331,0.8060443092356814,0.46670949294540337,0.6792289941973281,0.15037115887301977,0.40078364223526425,0.9707713480265596,0.9843602227544886,0.0
TPK1,MSN4,0.994457890258895,0.9979262013396901,0.8875269200798868,0.9644459198201436,0.6505339587357406,0.7998022653389778,0.9085964108108737,0.978093152245624,0.0
TPK1,TPS2,0.011492834523899795,0.31796842182789437,,,,,0.011492834523899795,0.1822623359453831,0.0
TPK1,HSP30,0.45167835460919387,0.9737481411055349,,,,,0.45167835460919387,0.7778904996047227,0.0
TPK1,TYE7,0.9951499428053412,0.9979262013396901,0.06817445416341382,0.4131309645236796,0.28227235608876544,0.5396139292787885,0.47407535211617435,0.7943965359784543,0.0
TPK1,CAT1,0.7105483036031326,0.9885303562766522,0.030508772943977854,0.3893025964594373,0.0965505991749276,0.3866812723866826,0.19099752729439518,0.725011021974643,0.0
C1_12120W_A,TPK1,0.7775244318006144,0.9885303562766522,0.91373295048869,0.9664599820036173,0.9524990434881964,0.9728608256961232,0.8363727933086336,0.9499685313426952,0.0
