"","15C_R1_lower","15C_R1_upper","15C_R2_lower","15C_R2_upper","15C_R3_lower","15C_R3_upper","No Treatment_R1_lower","No Treatment_R1_upper","No Treatment_R2_lower","No Treatment_R2_upper","No Treatment_R3_lower","No Treatment_R3_upper"
"CAT1",1.42780765903486,1.42780765903486,1.37905837959277,1.37905837959277,1.34752366070729,1.34752366070729,1.02340492634783,1.02340492634783,0.946744194111459,0.946744194111459,1.00841685570112,1.00841685570112
"TYE7",0.195855072619515,0.195855072619515,0.407337528491815,0.407337528491815,0.693751273837085,0.693751273837085,1.00387429798241,1.00387429798241,0.957147976464332,0.957147976464332,1.00190674042868,1.00190674042868
"TYE7CAT1",0.204317946127765,0.419516729623281,0.325133870633527,0.544752598344476,0.784291694320908,0.639662191470126,0.988249795290081,0.96806814597915,0.961699631243714,0.94544372131735,0.97912133697514,0.986933475302069
"YAK1",0.797928073635059,0.797928073635059,1.13735508708407,1.13735508708407,1.19819075938981,1.19819075938981,0.958953852741956,0.958953852741956,0.950645612493787,0.950645612493787,0.942013679922226,0.942013679922226
"YAK1CAT1",NA,0.950259796783571,NA,1.0674206318912,NA,0.973603482605265,NA,0.990202858126622,NA,0.964950813228987,NA,0.977819313920652
"YAK1TYE7",0.40500894646628,0.53920594066854,0.390160644760232,0.66989846553172,0.786643393554254,0.707861469237161,0.868461941315525,0.846978250113567,0.874567954038401,0.896675991538257,0.911416138141753,0.889281746215453
"HSP30",1.09412864642383,1.09412864642383,0.953317047102832,0.953317047102832,1.19583906015647,1.19583906015647,0.997364088527275,0.997364088527275,0.974054122787751,0.974054122787751,0.994094602101754,0.994094602101754
"HSP30CAT1",0.785838254337558,1.3564777251796,1.07110139269083,1.16925501401416,1.25580739060679,1.31930326990713,1.00257225609139,1.00387429798241,0.918784029038113,0.964950813228987,0.97912133697514,0.99344359057451
"HSP30TYE7",0.0604490964875045,0.386874217520029,0.233114850642906,0.366849159695942,0.184608389817665,0.515022132102785,0.703102621154998,0.969370187870178,0.97535459558186,0.949995376096732,1.00451078653766,0.97912133697514
"HSP30YAK1",0.604490964875045,NA,1.07110139269083,NA,0.690223724987066,NA,0.903617072373275,NA,0.918784029038113,NA,0.91727524188695,NA
"PDE2",0.0253886205247519,0.0253886205247519,0.0613460133270806,0.0613460133270806,0.0164618946334224,0.0164618946334224,0.852186417677678,0.852186417677678,0.888873154773602,0.888873154773602,0.874959492616083,0.874959492616083
"PDE2CAT1",NA,0.00362694578925027,NA,0.00245384053308322,NA,0.00352754885001907,NA,0.721982228574901,NA,0.649586160657519,NA,0.727830887458914
"PDE2TYE7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PDE2YAK1",1.05544122467183,NA,1.51524652917889,NA,1.3992610438409,NA,0.975229376379803,NA,0.97535459558186,NA,0.976517290866164,NA
"PDE2HSP30",0.988947218535574,0.223661657003767,1.13490124655099,0.482179664750853,0.955965738355169,0.725499213487256,1.00127021420036,0.880831339280289,0.935039938964477,0.954547030876114,0.943315702976714,0.994094602101754
"TPS2",0.0314335301735023,0.0314335301735023,0.03803452826279,0.03803452826279,0.0270445411834796,0.0270445411834796,0.856092543350761,0.856092543350761,0.79328840440658,0.79328840440658,0.872355446507106,0.872355446507106
"TPS2CAT1",0.412262838044781,0.475129898391785,0.457641259420021,0.737379080191509,0.807808686654368,0.535011575586226,1.04749270133184,1.04163351282222,0.964950813228987,1.07158958234594,1.03250428220916,1.09109531966113
"TPS2TYE7",0.120898192975009,0.0423143675412532,0.231887930376365,0.0282191661304571,0.518549680952804,0.0623200296836703,1.04293555471325,0.927053826411775,1.02997445293444,0.963650340434878,1.01818202860979,0.967403129484746
"TPS2YAK1",0.482383789970286,NA,0.179130358915075,NA,0.265742013368104,NA,0.915335449392525,NA,0.840105424994509,NA,0.893187815378918,NA
"TPS2HSP30",0.13057004841301,0.383247271730779,0.315318508501194,0.619594734603514,0.593804056419878,0.398613020052155,0.919892596011122,1.03772738714914,0.919434265435167,1.08329383749292,0.957637956576084,1.05203462802648
"TPS2PDE2",0.0120898192975009,NA,0.00368076079962484,NA,0.295138253784929,NA,0.816380265674414,NA,0.567006138231588,NA,0.704394472478126,NA
"MSN4",1.51364537604711,1.51364537604711,1.37660453905969,1.37660453905969,1.37456820189077,1.37456820189077,1.11324581682875,1.11324581682875,0.996162160287607,0.996162160287607,1.06830991620758,1.06830991620758
"MSN4CAT1",0.105181427888258,0.818480766440811,0.315318508501194,1.07600907375699,1.19583906015647,0.584397259486493,1.00582736081896,1.0500967851139,0.67819656212792,1.08459431028703,0.80009316698301,1.11778679227814
"MSN4TYE7",0.390501163309279,0.315544283664773,0.440464375688439,0.47236430261852,0.495032688619343,0.48209834283594,1.01689471689269,0.959604873687469,0.988359323522952,0.977955541170079,1.00320876348317,0.982376394611361
"MSN4YAK1",0.0145077831570011,0.852332260473813,0.0490768106616645,1.29930856226757,0.0576166312169782,1.13469488008947,0.739559794103776,0.964162020306067,0.957147976464332,0.969502468008369,0.92053029952317,0.956335933521596
"MSN4HSP30",0.66494006136255,0.94300590520507,0.866205708178378,1.55818873850785,1.05003370768901,0.880711362888096,0.988249795290081,0.973276313543261,0.764678002936178,0.969502468008369,0.945919749085691,0.971960210175455
"MSN4PDE2",0.425561639272032,NA,0.531256475412518,NA,0.606738402203281,NA,0.958953852741956,NA,0.906429537494076,NA,0.9283424378501,NA
"MSN4TPS2",0.0761658615742557,0.00604490964875045,0.143549671185369,0.00736152159924967,0.228114825634567,0.0552649319836322,0.87757623455272,0.526675944920735,0.509785335290786,0.362181673159398,0.885375677051988,0.202464584972918
"PTC1",0.975648417308323,0.975648417308323,1.30544316360027,1.30544316360027,0.999472174172071,0.999472174172071,0.988249795290081,0.988249795290081,0.968852231611315,0.968852231611315,0.990839544465534,0.990839544465534
"PTC1CAT1",0.365112542784527,0.525907139441289,0.885836432443044,1.08582443588933,1.1464533762562,0.522077229802823,1.00973348649204,0.989551837181108,0.957147976464332,0.953246558082005,0.969356164066478,0.994094602101754
"PTC1TYE7",0.168048488235263,0.0483592771900036,0.0466229701285812,0.374210681295192,0.26809371260145,0.215180479851164,0.976531418270831,0.89775788386365,0.684048689701411,0.910981192273458,1.0272961899912,0.94266469144947
"PTC1YAK1",NA,0.695164609606302,NA,0.947182445770124,NA,0.871304565954712,NA,0.955047727068872,NA,0.933089229773313,NA,0.948523795194667
"PTC1HSP30",1.11468133922958,0.143868849640261,0.988897734832539,0.644133139934346,0.918338550621632,0.186960089051011,1.0266600310754,0.954396706123358,0.955197267273169,0.867415353670801,1.02924922457294,0.577447224665525
