"","15C","No Treatment"
"CAT1",1.38479656644497,0.992855325386805
"TYE7",0.432314624982805,0.987643004958477
"TYE7CAT1",0.486279171753347,0.971586017684584
"YAK1",1.04449130670298,0.950537715052656
"YAK1CAT1",0.997094637093346,0.977657661758754
"YAK1TYE7",0.583129810036365,0.881230336893826
"HSP30",1.08109491789438,0.988504271138927
"HSP30CAT1",1.15963050778934,0.977124387315092
"HSP30TYE7",0.291152974377805,0.930242484036095
"HSP30YAK1",0.788605360850979,0.913225447766112
"PDE2",0.0343988428284183,0.872006355022454
"PDE2CAT1",0.00320277839078419,0.699799758897111
"PDE2TYE7",NA,NA
"PDE2YAK1",1.32331626589721,0.975700420942609
"PDE2HSP30",0.751859123113935,0.951516471399951
"TPS2",0.032170866539924,0.840578798088149
"TPS2CAT1",0.570872223048115,1.04154436859988
"TPS2TYE7",0.167364894609926,0.991533222098146
"TPS2YAK1",0.309085387417822,0.882876229921984
"TPS2HSP30",0.406857939953422,0.995003445115152
"TPS2PDE2",0.103636277960685,0.69592695879471
"MSN4",1.42160603899919,1.05923929777465
"MSN4CAT1",0.682537682705036,0.956099162934825
"MSN4TYE7",0.432667526122716,0.988066602227954
"MSN4YAK1",0.567922821311082,0.917873081987885
"MSN4HSP30",0.993847580638492,0.935597756506506
"MSN4PDE2",0.521185505629277,0.931241942695377
"MSN4TPS2",0.0860836202709706,0.560676574991424
"PTC1",1.09352125169356,0.982647190455643
"PTC1CAT1",0.755201859436201,0.97885510406462
"PTC1TYE7",0.186752601550275,0.906546677591671
"PTC1YAK1",0.837883873777046,0.945553584012284
"PTC1HSP30",0.666146617218229,0.901727634563532
"PTC1PDE2",0.824873718831386,0.88828693270365
"PTC1TPS2",0.660538601624053,1.06119829699713
"PTC1MSN4",0.994174399803683,0.983077313071255
"TPK1",0.790070240884236,0.948159750505295
"TPK1CAT1",1.06523105411692,1.00706331224961
"TPK1TYE7",0.444248957566656,0.969867199920022
"TPK1YAK1",0.780742907976914,0.926463088083032
"TPK1HSP30",1.08670562916751,0.963573598893645
"TPK1PDE2",0.995220700477131,0.910413170065843
"TPK1TPS2",0.431741344023919,0.997626500903989
"TPK1MSN4",1.42695927720036,1.00867248109479
"TPK1PTC1",0.525811307587992,0.930597119651956
"C1_12120W_A",0.929449716533548,1.03211009754164
"C1_12120W_ACAT1",1.0491526139084,1.02029029005329
"C1_12120W_ATYE7",0.315026872195389,0.971048758807861
"C1_12120W_AYAK1",0.651767312946475,0.939045000163683
"C1_12120W_AHSP30",1.0342011272783,1.02603555591153
"C1_12120W_APDE2",0.592073746097117,0.953375054823709
"C1_12120W_ATPS2",1.0143827667595,0.95021699459336
"C1_12120W_AMSN4",1.23040581084579,1.03601221837542
"C1_12120W_APTC1",1.04980106283429,1.01930421015601
"C1_12120W_ATPK1",0.899968738218399,0.972568984503415
"SSK1",1.03398691040535,0.801156159509536
"SSK1CAT1",0.526361645287858,0.965071518328305
"SSK1TYE7",0.71140031790466,0.94580498397969
"SSK1YAK1",0.726518787627869,0.954114950949243
"SSK1HSP30",0.80506929792398,0.632844298994689
"SSK1PDE2",0.600163575821854,0.867039248119432
"SSK1TPS2",0.992338931592682,0.843748839400481
"SSK1MSN4",0.923870751048429,0.974263914824481
"SSK1PTC1",0.626393434782333,0.790185544034653
"SSK1TPK1",0.976146099637301,1.01660106571936
"SSK1C1_12120W_A",0.99910817241721,0.938503210093783
"FGR15",0.047277461526423,1.039721760914
"FGR15CAT1",0.526533747975793,0.970385130147091
"FGR15TYE7",0.102676403344265,0.830840765252091
"FGR15YAK1",0.536291822410952,0.868690730780937
"FGR15HSP30",0.421775748927644,1.01506128344763
"FGR15PDE2",NA,NA
"FGR15TPS2",0.487854887339742,0.959618069894966
"FGR15MSN4",0.556334709318966,0.979077251895957
"FGR15PTC1",0.616466931481104,0.986120180896208
"FGR15TPK1",0.29339295872768,0.987969958007199
"FGR15C1_12120W_A",0.0235174909775548,0.912897676579297
"FGR15SSK1",0.554104471475042,0.723245336515205
"HOG1",0.958854738851742,0.905037706508969
"HOG1CAT1",0.935141454614583,0.975934036241892
"HOG1TYE7",0.630012730618356,0.846887509125754
"HOG1YAK1",0.768352799167229,0.93375382693358
"HOG1HSP30",0.92573246574822,0.905245500304395
"HOG1PDE2",0.010364167262486,0.760904395667384
"HOG1TPS2",0.655593967083175,1.00304929135435
"HOG1MSN4",0.787413871420086,0.877809216278817
"HOG1PTC1",0.762050626335879,0.774673375895594
"HOG1TPK1",0.286231949361289,0.764695492657092
"HOG1C1_12120W_A",0.721475626695505,0.764630053333107
"HOG1SSK1",0.899091782345918,0.871576038541967
"HOG1FGR15",0.489083940466724,0.924688858690078
"SSN3",0.424967362768301,0.972009588740975
"SSN3CAT1",1.14532436549522,0.961851880905725
"SSN3TYE7",0.94773852421055,0.926378821927624
"SSN3YAK1",1.00797136749298,0.948802212054779
"SSN3HSP30",1.15732630470165,0.977656746452218
"SSN3PDE2",0.72122521369347,0.931459292818373
"SSN3TPS2",0.228562731109894,0.851292246420209
"SSN3MSN4",1.02480062313856,0.981874359145612
"SSN3PTC1",1.1354028636839,0.980042895388207
"SSN3TPK1",0.906656380690515,0.998697683777634
"SSN3C1_12120W_A",0.53927154378509,0.929181678295524
"SSN3SSK1",1.203648161111,0.951367895190865
"SSN3FGR15",0.389212592119093,0.897814970986621
"SSN3HOG1",1.06832085913474,0.974844499048481
"EFH1",0.876498446553322,0.937722202118461
"EFH1CAT1",1.28051333386585,0.98892072004043
"EFH1TYE7",0.768039968453908,0.922563451652716
"EFH1YAK1",1.07526939901377,0.948354267569977
"EFH1HSP30",0.810278837204402,0.952716621326656
"EFH1PDE2",1.21919758406345,0.991315455683235
"EFH1TPS2",0.558216530183854,1.02319456009548
"EFH1MSN4",1.14852062701711,0.961262599151073
"EFH1PTC1",0.553577786561355,0.924285918557739
"EFH1TPK1",0.755365261099288,0.829373716211946
"EFH1C1_12120W_A",0.832670311336843,0.999000877473526
"EFH1SSK1",1.15569812169182,0.826566206702853
"EFH1FGR15",0.516650504839255,0.945766601226237
"EFH1HOG1",1.08792002111182,0.917578696174471
"EFH1SSN3",1.11324030454593,0.976013408936549
"RCK2",1.01653403988088,0.920151000881112
"RCK2CAT1",0.828269352559567,0.972887122293113
"RCK2TYE7",0.850769029307568,0.953563286082447
"RCK2YAK1",1.09653360673668,0.93425460791838
"RCK2HSP30",1.31173160530484,1.00780914005195
"RCK2PDE2",0.405718019975416,0.759258845490507
"RCK2TPS2",0.483638745060475,0.897698792330309
"RCK2MSN4",1.01925896044964,0.957583596395083
"RCK2PTC1",0.222876434908675,0.841847313485407
"RCK2TPK1",1.07092806704749,0.919860881423164
"RCK2C1_12120W_A",0.511210214850369,0.849007767811847
"RCK2SSK1",1.16181429032718,0.911546539344487
"RCK2FGR15",0.464978544314749,0.833057552933324
"RCK2HOG1",1.12715465206819,0.94314070282136
